,id,date,ticker,tweet
0,100001,01/01/2020,AMZN, AMZN Dow futures up by 100 points already  
1,100002,01/01/2020,TSLA, TSLA Daddy s drinkin  eArly tonight  Here s to a PT of ohhhhh  1000 in 2020   
2,100003,01/01/2020,AAPL, AAPL We ll been riding since last December from  172 12 what to do  Decisions decisions hmm    I have 20 mins to decide  Any suggestions 
3,100004,01/01/2020,TSLA, TSLA happy new year  2020  everyone   
4,100005,01/01/2020,TSLA, TSLA haha just a collection of greats    Mars  rofl                 bork 
5,100006,01/01/2020,TSLA, TSLA NOBODY  Gas cars driven by humans killed 1000s upon 1000s in 2019   Tesla shorts  OMG DID YOU HEAR 2 PEOPLE DIED FROM A TESLA CRASH 
6,100007,02/01/2020,AAPL, AAPL  300 calls First trade of 2020 Congrats to all bulls  
7,100008,02/01/2020,AAPL, AAPL Remember  if you short every day  one of those days you will be right  
8,100009,02/01/2020,AAPL, AAPL called it  the bear comment below makes me chuckle inside  So sweeet  
9,100010,02/01/2020,HD, HD Bought more at today s low  She is turning  Stars aligned  
10,100011,02/01/2020,AAPL,Apple is taking things UP in 2020     AAPL
11,100012,02/01/2020,AAPL, AAPL not a bad day wish I wouldnt have sold those 20 300 calls on monday  Still took a decent profit for next week calls though   
12,100013,02/01/2020,AAPL, AAPL where are all the peeps posting bearish since  200 
13,100014,03/01/2020,NVDA, NVDA This should be at least 300 already     
14,100015,03/01/2020,AAPL, AAPL tomorrow buy time on the dip then green    
15,100016,03/01/2020,AAPL, AAPL Thanks for that dip  Let the bears talk their gibberish and ignore it   
16,100017,03/01/2020,AAPL, AAPL leave enough red to buy calls at open  
17,100018,03/01/2020,AAPL, AAPL short this bears      Never go against Apple 
18,100019,03/01/2020,TSLA, TSLA  I must rise to a level where winning does not elate  me and losing does not deflate me  But it s not going to happen today     
19,100020,03/01/2020,TSLA, TSLA shorts are f u c k e d  
20,100021,03/01/2020,TSLA, TSLA Don t short  It s a Trap lol   see you at 7    up day
21,100022,03/01/2020,AMZN, AMZN who ever shorted today will be deported from US if you are immigrants  
22,100023,03/01/2020,TSLA, TSLA   not see anything like this with Tesla stock in the last 3 years  It ll be an EPIC year in 2020 when model Y roll out in summer 
23,100024,03/01/2020,TSLA, TSLA  can one hear the bear as it cries in the forest    
24,100025,03/01/2020,TSLA, TSLA Ignore the clowns and bears   Marvelous opportunity awaits the longterm bulls   
25,100026,03/01/2020,GOOGL, GOOGL good thing I loaded up on puts  
26,100027,03/01/2020,AAPL, AAPL  1 000 by the end of January  
27,100028,06/01/2020,AAPL, AAPL it s just too funny and easy to laugh at bears at this point  Why don t you guys do something useful like find a good job so you can afford to buy Apple instead of just posting jealous hate and looking like a  
28,100029,06/01/2020,AAPL, AAPL once hits 300 today  needs another 100 points to reach 400 like that smart gentleman said on CNBC this am   
